,Location,Name,Category,Description,Latitude,Longitude,coords,xy_coords,x,y
3884,,Walmart ,Informal Campsite,I asked for overnight parking and they saw yes. Very quiete,35.026416999999995,-106.71270600000001,"(35.026416999999995, -106.71270600000001)","(-11879204.093092311, 4167471.6885885964)",-11879204.093092311,4167471.6885885964
3886,"Whitney Pass Road, Bunkerville, NV 89007, USA",Whitney Pocket,Informal Campsite,"Free BLM site in Gold Butte National Monument. Lots of sites with fire rings. Beautiful site. Road to Whitney Pocket is paved, but very rough and has lots of potholes, but you don't need a 4WD - despite the signs that suggest you do. ",36.524135,-114.133445,"(36.524135, -114.133445)","(-12705276.979882095, 4372983.28835924)",-12705276.979882095,4372983.28835924
3887,,Lookout Mountain Summit,Wild Camping,"The road up is a rutted but was passable in April in our 4wd SUV with standard clearance. On the last leg up, there were a few snowy and muddy spots that may prove more challenging if there have been recent rains. No services but amazing panorama views for sun set and sun rise!",37.728833,-118.947626,"(37.728833, -118.947626)","(-13241189.157388749, 4541189.516140179)",-13241189.157388749,4541189.516140179
3888,,Earthquake Fault,Wild Camping,"A 6 mile unmaintained road with various earthquake fault sights. The site shown was at the first turn off after only a couple of miles. We camped in the gulley / ravine but there is a nice photo opp by driving the trail to a steep peak. How far you decide to go might be vehicle weight and bravery dependant. Super quiet, just a couple of cows and the navy jets for company.",39.243258000000004,-118.12356899999999,"(39.243258000000004, -118.12356899999999)","(-13149455.551764114, 4756576.335606132)",-13149455.551764114,4756576.335606132
3892,,Short Fence trailhead (BLM),Informal Campsite,"A small, quiet BLM trailhead parking lot for the Short Fence trail. Legal and almost no one passes by at night. Very quiet and calm area to spend a few nights. 35 min from Pinnacles. Not a huge spot so probably not ideal for bigger rigs. No amenities. FREE",36.363824,-120.87858600000001,"(36.363824, -120.87858600000001)","(-13456142.64133093, 4350799.167599452)",-13456142.64133093,4350799.167599452
3893,,Fire Rock Navaho Casino,Informal Campsite,"Overnight parking okay in west end of lot. Trains, trucks, and traffic present but slept just fine.",35.532494,-108.630976,"(35.532494, -108.630976)","(-12092744.932696322, 4236482.484747107)",-12092744.932696322,4236482.484747107
3894,,East Creek Road,Wild Camping,"Take the turn to East Creek, then right at the fork with the scratched out unreadable sign. There's a mostly level pull out on the left side of the road up to East Creek in Humboldt National Forest. We stayed there in our truck camper, could fit 2 vehicles or small RV. Has a stone fire pit and is surrounded by trees. Very quiet. Nice views. 
Free. ",39.490319,-114.67547900000001,"(39.490319, -114.67547900000001)","(-12765615.928754738, 4792150.91346143)",-12765615.928754738,4792150.91346143
3895,,Pyramid Lake Paiute Reservation - $15,Wild Camping,"Pyramid Lake is gorgeous. PERMIT Required for camping on tribal lands. $15 per vehicle per night. You can buy the permit online https://pyramidlake.us/permits

No fires by non-tribal visitors and camping must be done at least 100’ from shore. There are several gravel roads along the south west side of the lake where you can access potential camp sites. There are a few spots near the road with picnic tables or pit toilets. Get more privacy parking with no services.

There is also a marina with a $50/night RV Park in Sutcliffe.",39.881343,-119.50672800000001,"(39.881343, -119.50672800000001)","(-13303428.10733025, 4848714.319833884)",-13303428.10733025,4848714.319833884
3896,,Bisti Badlands - Parking north ,Informal Campsite,"Parking north of Bisti Badlands. 
No amenities. 
The dirty road to join the other informal campsite of Bisti Badlands is cut, use the main road. ",36.278439,-108.255356,"(36.278439, -108.255356)","(-12050931.105564553, 4339002.096800215)",-12050931.105564553,4339002.096800215
3898,,National Forest near Monticello,Wild Camping,A grassy spot in an oak grove. Little bumpy. Rock fire ring. No facilities. We slept here one night without any problem. It would fit more cars/campers. ,37.872858,-109.428266,"(37.872858, -109.428266)","(-12181498.849510891, 4561480.449229107)",-12181498.849510891,4561480.449229107
3902,,Lookout Mountain Rd,Wild Camping,"This is a perfect campsite with 360 degree views on a flat knoll hidden off to the left 1.7km up Lookout Mountain Rd as you approach a cattleguard a few km in from the highway. There are noticeable tracks leading off to the left of the main road which disappear as you approach the campsite 100m later. It is absolutely peaceful up here with no signs of parties or frequent activity. No vehicles went by during the time we were here.
No highway noise however you can see it in the distance from the knoll.
There is room for several rigs however there is no shade or privacy on this spot. There are likely other spots like this higher up Lookout Rd.",44.477779999999996,-117.32782399999999,"(44.477779999999996, -117.32782399999999)","(-13060873.623562822, 5539679.9113580575)",-13060873.623562822,5539679.9113580575
3904,,Hollis open camp site,Wild Camping,"two night max. $10 donation accepted. no hook ups. in the field next to the car lot. talk to the guy at the car lot to ""check in""",43.629296999999994,-70.634003,"(43.629296999999994, -70.634003)","(-7862941.246650559, 5408253.1149729565)",-7862941.246650559,5408253.1149729565
3905,,Surf city public parking ,Informal Campsite,Called into the visitor centre and was advised that parking is free all over the island. What a find a quiet spot 30 steps to the beach. Public toilets there. And rubbish bins ( pls leave site as you found it). Go for it 😀🇦🇺,34.441324,-77.519243,"(34.441324, -77.519243)","(-8629402.657440038, 4088216.1202741764)",-8629402.657440038,4088216.1202741764
3906,,Walmart Parking Lot,Informal Campsite,Quite clean walmart parking lot. Asked manager inside and said was ok for the night. ,40.675653000000004,-75.14445500000001,"(40.675653000000004, -75.14445500000001)","(-8365042.466538061, 4964617.628899015)",-8365042.466538061,4964617.628899015
3908,,Very quiet Pullout,Wild Camping,Very quiet pullout directly to the street. You have a lot of space for a tent and for fire. The streat ends 1000m ahead and so its a good free spot for a night.,34.280283000000004,-117.534756,"(34.280283000000004, -117.534756)","(-13083909.188431654, 4066499.563278689)",-13083909.188431654,4066499.563278689
3909,,Walmart Supercenter Oro Valley,Informal Campsite,"Large parking lot.  I asked for permission to park and was told it was ok.  There is no security at night.  Quiet, clean and off the main road.  Beautiful view of the Catalina mountains",32.3454,-111.0147,"(32.3454, -111.0147)","(-12358099.874568028, 3808735.6303437897)",-12358099.874568028,3808735.6303437897
3910,,Woodruff Narrows/Bear River access area,Informal Campsite,"State land camp site. Toilets and right on the lake. Good place to stop while traveling through.
Free",41.469778000000005,-111.024055,"(41.469778000000005, -111.024055)","(-12359141.268404398, 5081882.712172313)",-12359141.268404398,5081882.712172313
3911,"200 Dark Canyon Rd, Carlsbad, NM 88220, USA",BLM Land at Dark Canyon Road,Wild Camping,"Camping on BLM Land north of Carlsbad Caverns Nationalpark. Several spur roads turn off from Dark Canyon Road. There were some more Campers around. The place is more quiet than along the National Park Highway, but the view is not as nice.",32.29639,-104.32139000000001,"(32.29639, -104.32139000000001)","(-11613004.013646502, 3802279.6107018567)",-11613004.013646502,3802279.6107018567
3912,,View camp,Wild Camping,"Nice quiet spot a handful of miles (5?) from I-17. Nice views in all directions of mountains, colorful cliffs and the landscape. No one around. :) I could get my 24' trailer in to it. No big rigs though.
------
Enter the Road 9201C which goes to the Walker Basin TH and continue for approx. 500 Meter. On the left is a very nice spot with a tree for shade and an existing firering. Completely quiet at night ecept for the houling of some coyotes 🐱. We even had AT&T connection 👍",34.635604,-111.716921,"(34.635604, -111.716921)","(-12436270.75871237, 4114470.7875129366)",-12436270.75871237,4114470.7875129366
3913,"Unnamed Road, Texas, USA","Williams Road to Gypsum Dunes, Dell City",Wild Camping,Wild Camping in the desert along Wilson Road leading to the Gypsum Dunes of Guadelupe Mountains National Park. Absolutely quiet with a nice view of the mountains. 2 very usable bars with att and a small mimo antenna facing west. Nothing on my Verizon cell.,31.92111,-105.07943999999999,"(31.92111, -105.07943999999999)","(-11697389.753642341, 3752959.5377489887)",-11697389.753642341,3752959.5377489887
3914,"The Military Rd, Silver City, NM 88061, USA","Military Road Trailhead, Gila National Forest",Wild Camping,"Wild Camping in Gila National Forest along Spirit of the Mountains Scenic Byway before going down into the valley of the Gila River. Nice views of the Gila Wilderness. Absolutely quiet.

Several pullouts coming up the main road, but this takes you further from the road.",33.12,-108.18888999999999,"(33.12, -108.18888999999999)","(-12043532.144289486, 3911242.809801826)",-12043532.144289486,3911242.809801826
3915,,Camp,Wild Camping,I-17 exit for Hwy 169. Go East for numerous camp spots. Many for big rigs. This spot is a little further back and quiet. Not for big rigs.,34.513891,-111.97487199999999,"(34.513891, -111.97487199999999)","(-12464985.732681986, 4098015.534518517)",-12464985.732681986,4098015.534518517
3916,"Juan Miller Rd, Clifton, AZ 85533, USA","Juan Miller Road, Apache-Sitgreaves National Forest",Wild Camping,"One of many absolutely great Campsites at Juan Miller Road leading to Blue Creek in the Apache-Sitgreaves National Forest. Great view, absolutely remote and quiet.",33.29639,-109.24417,"(33.29639, -109.24417)","(-12161005.376533812, 3934711.1834611767)",-12161005.376533812,3934711.1834611767
3917,"Juan Miller Rd, Blue, AZ 85922, USA","XXX Ranch Road, Apache-Sitgreaves National Forest",Wild Camping,"2 WD Trailhead to Blue River Canyon and Hannah Hot Spring. We came back from our day hike to the Hannah Hot Spring (24,2 km + 9,4 km along the very rocky Jeep Road) at 8 pm, so we didn't move the car anymore.",33.30056,-109.20666999999999,"(33.30056, -109.20666999999999)","(-12156830.895629063, 3935266.5676114294)",-12156830.895629063,3935266.5676114294
3918,"State Rte 233, Reserve, NM 87830, USA","Eagle Peak Road, Gila National Forest",Wild Camping,Wild Camping in Gila National Forest at Eagle Peak Road near Reserve. Absolutely quiet. Great view.,33.73111,-108.71943999999999,"(33.73111, -108.71943999999999)","(-12102592.700129857, 3992753.561762386)",-12102592.700129857,3992753.561762386
3919,"Hidden Ln, Socorro, NM 87801, USA",Socorro at Rio Grande River,Wild Camping,Along the dam of the Rio Grande in Socorro are a couple of quiet sites. We moved a bit south from the main entrance at Otero Avenue to be more private.,34.04972,-106.86889,"(34.04972, -106.86889)","(-11896590.416442364, 4035480.1628300804)",-11896590.416442364,4035480.1628300804
3920,"2-24 Forest Rd 252, Tijeras, NM 87059, USA","Sabino Canyon Trailhead, Cibolla National Forest",Wild Camping,Wild Camping at Sabino Canyon Trailhead in Cibolla National Forest. Quiet. There are a shaded picnic table and trash cans available. Forest Road 252 uphill leads you to some more overnight spots.,35.04,-106.34388999999999,"(35.04, -106.34388999999999)","(-11838147.683775896, 4169318.3137831697)",-11838147.683775896,4169318.3137831697
3921,,road side on hwy 1 heading north (opposite side of the beach),Wild Camping,"section of road has RVers and vans obviously being slept in(unknown how long they are here). site good for one night, maybe two. road is noisy, and traffic is nonstop",34.041973,-118.571968,"(34.041973, -118.571968)","(-13199371.100116327, 4034439.3679305473)",-13199371.100116327,4034439.3679305473
3922,"Forest Rd 261, Alta, WY 83414, USA",grasse lake,Wild Camping,In the middle of nature with a lot of possibilities. The way a little broken but it passable. After 8 miles unpaved road we arrived at the lake ... no amenities but fires allowed.,44.128728,-110.820644,"(44.128728, -110.820644)","(-12336497.659462648, 5485384.79655124)",-12336497.659462648,5485384.79655124
3923,"10000 CA-178, Lake Isabella, CA 93240, USA",Lake Isabella,Wild Camping,"Parking at the lake, very quiet, lots of places.",35.657779999999995,-118.43059199999999,"(35.657779999999995, -118.43059199999999)","(-13183633.195785936, 4253634.026900469)",-13183633.195785936,4253634.026900469
3924,,Parking librairie ,Wild Camping,quiet place. no facilities. Near park and library,35.643049,-118.46176200000001,"(35.643049, -118.46176200000001)","(-13187103.024313966, 4251615.972302182)",-13187103.024313966,4251615.972302182
3925,,A parking lot,Informal Campsite,"Quiet parking. No signs ""no overnight"". Near laundromat and market. wifi and toilet at laundromat. At 5 min border mexico",32.574085,-117.054898,"(32.574085, -117.054898)","(-13030491.640218576, 3838906.3709349316)",-13030491.640218576,3838906.3709349316
3927,,Nashville Education Association paying car park,Informal Campsite,Pay at the machine with cash or card. $11 24 hrs. Railway line nearby with great v slow moving trains. Also horses next door which are used for pulling carts so slight smell. V central & restaurant just across the road.,36.170734,-86.78151899999999,"(36.170734, -86.78151899999999)","(-9660474.505346794, 4324139.609688907)",-9660474.505346794,4324139.609688907
3928,,Wilkins Creek Overlook,Wild Camping,"Up a couple of switchbacks and a fairly rutted road you will find a sweet little spot for an overnight stay, you can hear the interstate below you but it’s not horrible. ",35.698667,-83.042803,"(35.698667, -83.042803)","(-9244282.544006132, 4259237.24094389)",-9244282.544006132,4259237.24094389
3930,"1626 N 7900 E, Huntsville, UT 84317, USA",Middle fork conservation area,Wild Camping,"It's a widlife conservation area, it is close during the winter and open after the second saturday of April. We were trying the ioverlander close to the basin but it was close and we found this one trying a dirt road. Waht a wonderfull place a lot a wildlife sound far from the road. They were some pitfires and a bathroom. There is nothing else, few cars when we arrived because there is some trail, but we were only three cars far from each others during the eveniing. Really quiet, far the best place we tried since we are around Salt Lake city (in the moment of the year most of the forest road are close)

There is a small river, wich we took the water to clean dishes and all the area is loan. You sleep close to cows also :)",41.29473,-111.75761000000001,"(41.29473, -111.75761000000001)","(-12440800.237473259, 5055911.951552108)",-12440800.237473259,5055911.951552108
3932,,Walmart Parking Lot,Informal Campsite,This is one of the better Walmarts to spend a few nights. I've stayed here a few times in the past few years. Tonight will be my third straight night here. Park at the back of the building near the huge pine trees. It's very quiet at night.,38.790022,-77.300371,"(38.790022, -77.300371)","(-8605037.937851131, 4691638.501188407)",-8605037.937851131,4691638.501188407
3934,"3989 Collington Rd, Bowie, MD 20716, USA",Lowes Camping at Bowie,Informal Campsite,Stayed here one night. No signs to say NO Camping. Didn’t get moved on :) Toilets inside Lowe’s. WiFi average. ,38.944755,-76.722176,"(38.944755, -76.722176)","(-8540673.564871915, 4713761.286898203)",-8540673.564871915,4713761.286898203
3938,,Walmart - Greensboro ,Informal Campsite,Surprisingly   quiet!     Great   for a   night.,36.135496999999994,-79.858051,"(36.135496999999994, -79.858051)","(-8889757.573063273, 4319281.60307844)",-8889757.573063273,4319281.60307844
3940,,Wal-mart ,Informal Campsite,"Lots of Rvs here. Right off the 10. Good for a night 
 ",33.437148,-112.55813,"(33.437148, -112.55813)","(-12529913.71624309, 3953472.839886264)",-12529913.71624309,3953472.839886264
3947,,camp site,Wild Camping,"nice little site off the road. has been stocked with wood, please don't use it all of you visit.",40.83704,-121.119037,"(40.83704, -121.119037)","(-13482909.524211662, 4988334.734039152)",-13482909.524211662,4988334.734039152
3952,,TJ’s Truck stop,Informal Campsite,"Large, flat parking lot. Other trucks in parking lot over night. Quiet, friendly. There’s a restaurant and convenient stop here as well.",44.496078999999995,-71.592933,"(44.496078999999995, -71.592933)","(-7969688.845956952, 5542535.26026177)",-7969688.845956952,5542535.26026177
3953,,Walmart Farmington,Informal Campsite,Big parking lot. Very quiet at night. A few rv's around. Shop is open 24/7.,36.731199,-108.22804599999999,"(36.731199, -108.22804599999999)","(-12047890.970270988, 4401705.330512939)",-12047890.970270988,4401705.330512939
3954,,Little Fort - George Washington NF,Wild Camping,"Little Fort is open Year Round. There are 6-15 campsites at this location. You may stay 14 Days at Little Fort.  ATV trails - may fill up quickly on weekends.  Level pads for tents, picnic tables, fire rings and pit toilets.  No other amenities.  Lovely spot.

",38.867289,-78.444355,"(38.867289, -78.444355)","(-8732385.654206783, 4702679.649170614)",-8732385.654206783,4702679.649170614
3955,,Swingle Canyon Road,Wild Camping,"Free site in Cibola National Forest, Datil Mountains. Easy to get to down hard packed dirt road - just a few ruts. There are maybe 4 to 5 sites before the road turns into a 4WD road. Cold in April. We woke up to snow on the ground. Pretty and quiet.",34.181019,-107.89256699999999,"(34.181019, -107.89256699999999)","(-12010545.618819151, 4053134.431370986)",-12010545.618819151,4053134.431370986
3956,"13101-13401 W Superior St, Lincoln, NE 68524, USA",Pawnee turn off,Wild Camping,If you are traveling west down superior there is a turn off on the right that leads into a field. No sing there so feel free to park the car and camp in the field. Wouldn't make a fire pit however. There are also established sites by the lake but those are $10 per site.,40.85751,-96.90127,"(40.85751, -96.90127)","(-10787000.033621516, 4991347.085104592)",-10787000.033621516,4991347.085104592
3957,,Just off FR 525,Wild Camping,"The sites on FR 525 are all packed at this time, took this road just off and up a bit and found seclusion. The road is bumpy but I did it in a 03 Ford E-150 Campervan, nice spot with a fire pit. Verizon is hit and miss but getting some 3G/LTE. Also allot of day traffic during the day on the FR 525 as it's a main road to the ruins a few miles up, so this gets you off that a bit.",34.880873,-111.912558,"(34.880873, -111.912558)","(-12458048.969932696, 4147704.021769599)",-12458048.969932696,4147704.021769599
3961,,Street parking in Manitou Springs,Informal Campsite,"Overnight parking on street no longer allowed.

Free overnight parking on the street in Manitou Springs starting at 6pm. The best spots are beside Soda Springs Park where it’s quieter. Paid parking begins at 7am. 

Public restrooms located in Soda Springs Park and in the parking lot across from the library. These close at night but there’s a 24hr cafe at the edge of the park with a restroom available all night except Fridays & Saturdays. 

We found 120V plugs at a few parking spots that worked for our block heater. The plugs wouldn’t be suitable for RV hookups. 

We stayed here for a week with no trouble. Not bad for boondocking in civilization! ",38.85784,-104.91693000000001,"(38.85784, -104.91693000000001)","(-11679299.223193528, 4701328.781071514)",-11679299.223193528,4701328.781071514
3963,,Walmart ,Informal Campsite,"A big Lot with bushes and trees, clean and quiet! ",40.205245,-105.10088300000001,"(40.205245, -105.10088300000001)","(-11699776.777483424, 4895812.902922373)",-11699776.777483424,4895812.902922373
3964,,"Couterie Forest Trailhead, City Park, New Orleans",Informal Campsite,"Small gravel parking lot at the trailhead to Couterie Forest in City Park, NOLA.  No toilets or services, but really quiet once the sun set, except for some road noise, and no street lights.  Privacy in the middle of a city? Unheard of.  City Park is really beautiful, and only a short drive to downtown. The south end of the park has public restrooms, and. also some nice gardens, restaurants, sports fields and playgrounds. If you drive in to the downtown area, park in the Garden District along a residential area off St. Charles St. and Magazine St.  You can catch a trolley on St. Charles that will take you into the French Quarter and back to your car, 24 hrs/ day, $1.25.",30.002333,-90.092734,"(30.002333, -90.092734)","(-10029077.273053844, 3503849.732426489)",-10029077.273053844,3503849.732426489
3965,"1931 Casino Way, Jackpot, NV 89825, USA",Jackpot Cactus Pete’s Casino ,Informal Campsite,Parking lot behind CP Casino open paved lot with lights stayed overnight there many times with no problems or simi’s. It is a quiet location with easy access.,41.986861,-114.66905200000001,"(41.986861, -114.66905200000001)","(-12764900.47838741, 5159011.488717649)",-12764900.47838741,5159011.488717649
3967,,Gander Mountain Parking Lot,Informal Campsite,Abandoned store parking lot with huge paved lot. Trucks overnight here too. There's a Walmart directly across the street but not sure if they allow you to stay overnight. ,38.648615,-77.29454,"(38.648615, -77.29454)","(-8604388.833900316, 4671462.94369944)",-8604388.833900316,4671462.94369944
3969,,north padre free camping,Wild Camping,nice place. dogs off leash fine light colored sand. no skeeters. just a few campers. hard packed sand is fine to drive any vehicle. ,27.485357,-97.270055,"(27.485357, -97.270055)","(-10828052.992033714, 3184242.6651656195)",-10828052.992033714,3184242.6651656195
3970,,Rest area - Bair exit,Informal Campsite,Rest area with bathrooms and some green space for your doggos. Room for big vehicles and RVs. Close to the highway. ,39.614383000000004,-107.139182,"(39.614383000000004, -107.139182)","(-11926679.184247863, 4810062.68528199)",-11926679.184247863,4810062.68528199
3971,"62 Oak St, Burlington, VT 05401, USA",Burlington Residential Parking,Wild Camping,"Some street are for residents only, but most are not, check signage. May be better for a smaller rig, but you might get lucky.",44.490078000000004,-73.211343,"(44.490078000000004, -73.211343)","(-8149849.423051694, 5541598.77437977)",-8149849.423051694,5541598.77437977
3973,,Camping World of Syracuse ,Informal Campsite,"Overnight camping allowed in lot.  Free dump station, non potable water and propane also available.  Earplugs helpful - steady highway noise.",43.10931,-76.284337,"(43.10931, -76.284337)","(-8491933.550342478, 5328624.771413832)",-8491933.550342478,5328624.771413832
3974,"Unnamed Road, Perkinston, MS 39573, USA","Bigfoot Trail Camp Rec Area, De Soto NF",Informal Campsite,"Large clearing amidst tall new growth pines.  Lots of sites with picnic tables, a pit toilet, fire rings and game racks (for stringing up your deer, etc.).  There is a well pump with water.  We aren't sure if it is potable, but we will use it to clean our dishes and bathe in the morning.  When we pulled in there was no one here.  Just a few minutes down the road the Airey Lake Rec area was packed.  The lake was more a pond than a lake and not worth sticking around for.  This place will be quiet tonight, for sure.  ",30.67962,-89.03801700000001,"(30.67962, -89.03801700000001)","(-9911666.713682838, 3591211.2264725184)",-9911666.713682838,3591211.2264725184
3976,,Gila River Recreation Area,Wild Camping,Just drive down the street you find several spots. Shady places and some have fire pits. You can also go to the river. Very quiet at night. The road is a bit steep but we did it with our van. I don’t know if it’s possible for big rigs. It’s FREE!,33.019873,-110.74158,"(33.019873, -110.74158)","(-12327696.295242568, 3897942.0689361496)",-12327696.295242568,3897942.0689361496
3978,,Near Valley of Fire State Park ,Wild Camping,"Flat campsites hidden from road.  With 4 wheel drive can go over small hill to very private place. Quiet, good cross country hiking. Free ",36.412555,-114.617901,"(36.412555, -114.617901)","(-12759206.375113843, 4357537.803543645)",-12759206.375113843,4357537.803543645
3980,,Camp Site - Holly Mount Trail,Wild Camping,"Cleared back country camp site. 4wd is a must to get here. No water, cell service, or facilities. Must bring everything and take your trash with you. ",34.274,-94.697,"(34.274, -94.697)","(-10541621.819650628, 4065653.13843241)",-10541621.819650628,4065653.13843241
3981,,BLM 30 Km Zion ,Wild Camping,Quiet and nice free place. About 3 km from the highway by a gravel road. Cellular signal good reception. No amenities. ,37.186253,-113.22236000000001,"(37.186253, -113.22236000000001)","(-12603855.461612707, 4465099.94874417)",-12603855.461612707,4465099.94874417
3982,,Space by the river,Wild Camping,"We kept asking around this neighbourhood and one nice guy told us about this spot at the site of the road. Discrete enough and at the side of the river. Nice shade. Perfect for motorcycles. Wouldn't really fit more than one maybe two tents. But all around perfect place for a night.
",46.190318,-119.84636599999999,"(46.190318, -119.84636599999999)","(-13341236.436544292, 5810900.443023461)",-13341236.436544292,5810900.443023461
3983,,Dome Rock,Wild Camping,Many places to wild camp along dirt road to Dome Rock. Sites with fantastic views just past the parking area for the summit. Verizon LTE on summit. Please keep this area clean so it will stay open to camping. ,36.067809999999994,-118.53238700000001,"(36.067809999999994, -118.53238700000001)","(-13194964.96335124, 4309955.939476773)",-13194964.96335124,4309955.939476773
3986,,"South of Arizona trailhead, Grandview entrance to Grand Canyon",Wild Camping,"Lots of nice camping spots in this area. Also, lots of people wanting to camp in this area so arrive early in afternoon. Very quiet at night, I mean very quiet, no noise last night, not even wind. Nice. Lots of shade in the Ponderosa pines.",35.955719,-111.953102,"(35.955719, -111.953102)","(-12462562.307367418, 4294530.084119286)",-12462562.307367418,4294530.084119286
3987,,"On FS Road 308, 0.4 miles west of hwy 64",Wild Camping,Many good camp spots in area. Ponderosa pine forest. Good spot for camping and visiting Grand Canyon NP.,35.933333000000005,-112.14333300000001,"(35.933333000000005, -112.14333300000001)","(-12483738.725420514, 4291451.968832341)",-12483738.725420514,4291451.968832341
3989,,safety roadside rest area,Informal Campsite,this is a standard roadside rest area with men and women's bathrooms a tower parking in a 24-hour period,36.107557,-119.32279299999999,"(36.107557, -119.32279299999999)","(-13282952.556791186, 4315431.159780993)",-13282952.556791186,4315431.159780993
3990,,Northbound 99 Rest Area,Informal Campsite,this is your standard highway rest area but no vending machines.,37.466345000000004,-120.826633,"(37.466345000000004, -120.826633)","(-13450359.259825746, 4504310.150424082)",-13450359.259825746,4504310.150424082
3991,,Walmart,Wild Camping,Walmart Shopping Center. Quiet. Mc Donalds free wifi on parking area,42.766956,-78.12694499999999,"(42.766956, -78.12694499999999)","(-8697051.73463409, 5276567.177119498)",-8697051.73463409,5276567.177119498
3992,,Pittsburgh Duquesne Incline ,Informal Campsite,"Price 10 $ for 24h.
Near bus station. 2 Min to downtown.
It is really noisy. Railway and Street.
Security controlled.
",40.440412,-80.017809,"(40.440412, -80.017809)","(-8907541.752273422, 4930149.671943401)",-8907541.752273422,4930149.671943401
3994,,Arco's Honey’s Park - Free Dry Camping,Informal Campsite,"   Free dry campground and dog park, with wifi, friendly conversation, electricity, a beer fridge and occasional campfires in a pit depending on wind mostly so we don't start a wild fire anywhere.  Dry meaning he has no water source on site, but hauls water from a publicly owned station with water, potable and non potable located within 1/4 mile.  
 
  There is a guest camper for use as shower and or restroom but for #1 only, as he doesn't like to haul even his own waste and Scar himself uses a public restroom in a park located 1/4 mile away.   All of this information is on a map of Arco posted on his website.

  Microwave and propane BBQ for use by everyone who wants it.

   Ran and started by a disabled Army vet who named the place after a dog who he promised her own park while they were homeless together.  She passed shortly after its purchased but it will forever be hers.  But he believes people shouldn't have to worry about where they are going to camp or whether or not the cops will come knocking in the middle of the night.  
",43.62829,-113.29372,"(43.62829, -113.29372)","(-12611799.220475713, 5408098.245087174)",-12611799.220475713,5408098.245087174
3998,,Parking spot in the Ancient Bristlecone Pine Forest,Wild Camping,Great and wonderful views to Sierra Nevada and  Nevada. ,37.443046,-118.19655900000001,"(37.443046, -118.19655900000001)","(-13157580.761397118, 4501042.929075061)",-13157580.761397118,4501042.929075061
3999,,Walmart 24h ,Informal Campsite,Quiet Walmart parking lot. No signs. 24 hours open. WiFi available. 3 trucks and a RV did stay with us. No problems. Overnight is allowed to stay here. ,35.710704,-96.842597,"(35.710704, -96.842597)","(-10780468.585138202, 4260887.356258504)",-10780468.585138202,4260887.356258504
4000,,Regional park trailhead ,Informal Campsite,"MODERATOR NOTE: No overnight camping allowed, please respect the wishes of the locals. 

Small parking lot in Mesquite located on a public land. Picnic tables, barbecue, pit toilets and trashs. Not enough place for big rigs or trailers. OK for vans and small rigs. My 22 feet RV back in is the largest which can fit. Some noise from the Interstate but not so much.
Police patrol came but said nothing. ",36.80478,-114.13767,"(36.80478, -114.13767)","(-12705747.304730697, 4411930.457439582)",-12705747.304730697,4411930.457439582
4001,,Great Sand Dunes NP Primitive Road,Informal Campsite,"Fantastic find! Secluded FREE sites with gorgeous views! 

Primitive Rd out of the northeast corner of the GSD National Park leads to 14 designated camp spots in the first 2.5 miles, 7 more through mile 5.8 (between the park and Medano Pass)

Most sites have bear boxes and fire pits. Some have roads to drive into, some are walk in tent sites. 

A couple shallow river crossings and some soft sand. Other than that road is decent but 4WD needed. 
",37.803158,-105.49511799999999,"(37.803158, -105.49511799999999)","(-11743662.816936309, 4551655.838045564)",-11743662.816936309,4551655.838045564
4002,,Sheep Creek Trailhead,Informal Campsite,"Parked here to hike the trail just before sunset and camped here overnight. 
Great quiet woodsy spot off 166 (USFS 622). There’s a parking lot and also a couple spots off the parking lot with fire rings. 
At 1 mile and 1.5 miles down the trail (stay to the right when you reach the river at 1 mile) there are a handful of tent sites. 
",37.30315,-107.33622199999999,"(37.30315, -107.33622199999999)","(-11948613.576713769, 4481446.646847593)",-11948613.576713769,4481446.646847593
4004,,Parking lot ,Informal Campsite,"This is a parking lot for costumers that came to buy from some of the businesses in here. There are no signs that says you can't park overnight!! So I stayed 1 night. Had no problems. In addition there's a Starbucks, a grocery store and pets store if you need. ",37.884442,-122.29762099999999,"(37.884442, -122.29762099999999)","(-13614108.894948758, 4563114.180208975)",-13614108.894948758,4563114.180208975
4007,,Street along a park with playground,Informal Campsite,"Good place to overnight in a very quiet little town, with playground and picnic tables. We spent the evening in the big city park (see other overlander spot) which is nice too with playgrounds, river, free tennis courts, trails to run, bbq, water, electricity and moved downtown as the big park closes at 11:45 pm.",29.432264,-97.17305400000001,"(29.432264, -97.17305400000001)","(-10817254.890107278, 3430779.4427726483)",-10817254.890107278,3430779.4427726483
4008,"15925 US-85, Lusk, WY 82225, USA",Outlook ,Wild Camping,"A place with a great view near the street, but less trafic, okay for overnight ",42.8946,-104.40859,"(42.8946, -104.40859)","(-11622711.073243676, 5295942.627775784)",-11622711.073243676,5295942.627775784
4009,,snow paradise ,Wild Camping,"Like the sites a bit east, there is a network of forest roads around this area, tried thine suggested a bit east but there were 4 weird people there, so we kept going west and found this place, is March now and is snowing we loved it ",45.306999,-121.87364,"(45.306999, -121.87364)","(-13566911.545922736, 5669982.374230176)",-13566911.545922736,5669982.374230176
4010,,bigger pull out ,Wild Camping,"Bigger than the other previously listed, drive down the side ",47.627639,-124.36213799999999,"(47.627639, -124.36213799999999)","(-13843929.876122816, 6045129.292451055)",-13843929.876122816,6045129.292451055
